Group	Breeds	ID
DC	Gallus_gallus_domesticus	BARS01
DC	Gallus_gallus_domesticus	BARS07
DC	Gallus_gallus_domesticus	BGA06
DC	Gallus_gallus_domesticus	BGA07
DC	Gallus_gallus_domesticus	BJava01
DC	Gallus_gallus_domesticus	BJava02
DC	Gallus_gallus_domesticus	BJava03
DC	Gallus_gallus_domesticus	BJava04
DC	Gallus_gallus_domesticus	BJava05
DC	Gallus_gallus_domesticus	BJava06
DC	Gallus_gallus_domesticus	BJava07
DC	Gallus_gallus_domesticus	BJava08
DC	Gallus_gallus_domesticus	BJava09
DC	Gallus_gallus_domesticus	BJava10
DC	Gallus_gallus_domesticus	BJY01
DC	Gallus_gallus_domesticus	BL07
DC	Gallus_gallus_domesticus	BL22
DC	Gallus_gallus_domesticus	BRA16
DC	Gallus_gallus_domesticus	BRA18
DC	Gallus_gallus_domesticus	BRG01
DC	Gallus_gallus_domesticus	BRG09
DC	Gallus_gallus_domesticus	BSum032
DC	Gallus_gallus_domesticus	BSum033
DC	Gallus_gallus_domesticus	BSum254
DC	Gallus_gallus_domesticus	CAG02
DC	Gallus_gallus_domesticus	CAG06
DC	Gallus_gallus_domesticus	CAS01
DC	Gallus_gallus_domesticus	CLS01
DC	Gallus_gallus_domesticus	CLS08
DC	Gallus_gallus_domesticus	CNS01
DC	Gallus_gallus_domesticus	COB02
DC	Gallus_gallus_domesticus	COB03
DC	Gallus_gallus_domesticus	COC12
DC	Gallus_gallus_domesticus	COC15
DC	Gallus_gallus_domesticus	Commercial
DC	Gallus_gallus_domesticus	CRB08
DC	Gallus_gallus_domesticus	CRB24
DC	Gallus_gallus_domesticus	CRW18
DC	Gallus_gallus_domesticus	CRW23
DC	Gallus_gallus_domesticus	CV12
DC	Gallus_gallus_domesticus	CV17
DC	Gallus_gallus_domesticus	DC01
DC	Gallus_gallus_domesticus	DC05
DC	Gallus_gallus_domesticus	DC07
DC	Gallus_gallus_domesticus	DC09
DC	Gallus_gallus_domesticus	DC11
DC	Gallus_gallus_domesticus	DC14
DC	Gallus_gallus_domesticus	DC16
DC	Gallus_gallus_domesticus	DC17
DC	Gallus_gallus_domesticus	DC25
DC	Gallus_gallus_domesticus	DC26
DC	Gallus_gallus_domesticus	DC30
DC	Gallus_gallus_domesticus	DC31
DC	Gallus_gallus_domesticus	DC38
DC	Gallus_gallus_domesticus	DC39
DC	Gallus_gallus_domesticus	DC42
DC	Gallus_gallus_domesticus	DC44
DC	Gallus_gallus_domesticus	DC48
DC	Gallus_gallus_domesticus	DC52
DC	Gallus_gallus_domesticus	DC60
DC	Gallus_gallus_domesticus	DC61
DC	Gallus_gallus_domesticus	DC65
DC	Gallus_gallus_domesticus	DC67
DC	Gallus_gallus_domesticus	DC73
DC	Gallus_gallus_domesticus	DC76
DC	Gallus_gallus_domesticus	DC79
DC	Gallus_gallus_domesticus	DC81
DC	Gallus_gallus_domesticus	DC82
DC	Gallus_gallus_domesticus	DC87
DC	Gallus_gallus_domesticus	DC88
DC	Gallus_gallus_domesticus	DC89
DC	Gallus_gallus_domesticus	DOD09
DC	Gallus_gallus_domesticus	DOD21
DC	Gallus_gallus_domesticus	DOS14
DC	Gallus_gallus_domesticus	DOS18
DC	Gallus_gallus_domesticus	DR15
DC	Gallus_gallus_domesticus	DR21
DC	Gallus_gallus_domesticus	DXJ01
DC	Gallus_gallus_domesticus	DY01
DC	Gallus_gallus_domesticus	DY05
DC	Gallus_gallus_domesticus	DY06
DC	Gallus_gallus_domesticus	DY09
DC	Gallus_gallus_domesticus	DY12
DC	Gallus_gallus_domesticus	DY13
DC	Gallus_gallus_domesticus	DY16
DC	Gallus_gallus_domesticus	DY20
DC	Gallus_gallus_domesticus	DY21
